,Name.x,Beer_ID,ABV,IBU,Brewery_id,Style,Ounces,Name.y,City,State,abbr,Beerclass,Beerclass_Colour
419,Summer Solstice (2011),77,0.056,4,172,Cream Ale,12,Anderson Valley Brewing Company,Boonville, CA,CA,ALE,red
420,Poleeko Gold Pale Ale (2009),76,0.055,28,172,American Pale Ale (APA),12,Anderson Valley Brewing Company,Boonville, CA,CA,ALE,red
421,Honey Badger Blonde,2510,0.047,19,70,American Blonde Ale,16,Appalachian Mountain Brewery,Boone, NC,NC,ALE,red
422,Sky High Rye,413,0.06,55,542,American Pale Ale (APA),12,Arcadia Brewing Company,Battle Creek, MI,MI,ALE,red
423,Whitsun,390,0.062,17,542,American Pale Wheat Ale,12,Arcadia Brewing Company,Battle Creek, MI,MI,ALE,red
424,Greenbelt Farmhouse Ale,1332,0.051,20,427,Saison / Farmhouse Ale,12,Armadillo Ale Works,Denton, TX,TX,ALE,red
425,This Season's Blonde,597,0.056,27,524,American Blonde Ale,12,Aspen Brewing Company,Aspen, CO,CO,ALE,red
426,Old Red Beard Amber Ale,978,0.06,35,375,American Amber / Red Ale,12,Astoria Brewing Company,Astoria, OR,OR,ALE,red
427,Dirty Blonde Ale,534,0.045,8,73,American Blonde Ale,12,Atwater Brewery,Detroit, MI,MI,ALE,red
428,Ellie’s Brown Ale,106,0.055,17,38,American Brown Ale,12,Avery Brewing Company,Boulder, CO,CO,ALE,red
429,Pumpkin Beast,1620,0.062,17,361,Pumpkin Ale,12,Aviator Brewing Company,Fuquay-Varina, NC,NC,ALE,red
430,Mad Beach,1228,0.048,23,361,American Pale Wheat Ale,12,Aviator Brewing Company,Fuquay-Varina, NC,NC,ALE,red
431,Hot Rod Red,702,0.061,41,361,American Amber / Red Ale,12,Aviator Brewing Company,Fuquay-Varina, NC,NC,ALE,red
432,Naked Pig Pale Ale,1875,0.06,43,287,American Pale Ale (APA),12,Back Forty Beer Company,Gadsden, AL,AL,ALE,red
433,Field 41 Pale Ale,965,0.044,38,484,American Pale Ale (APA),12,Bale Breaker Brewing Company,Yakima, WA,WA,ALE,red
434,Banner American Ale,1643,0.035,45,319,American Amber / Red Ale,12,Banner Beer Company,Williamsburg, MA,MA,ALE,red
435,Amber Road,533,0.055,35,293,American Amber / Red Ale,12,Baxter Brewing Company,Lewiston, ME,ME,ALE,red
436,Pamola Xtra Pale Ale,183,0.049,28,293,American Pale Ale (APA),12,Baxter Brewing Company,Lewiston, ME,ME,ALE,red
437,Fenway American Pale Ale,2423,0.058,45,104,American Pale Ale (APA),12,Beer Works Brewery,Lowell, MA,MA,ALE,red
438,Moar,2558,0.044,44,54,English India Pale Ale (IPA),12,Bent Brewstillery,Roseville, MN,MN,ALE,red
439,Nordic Blonde,2556,0.057,27,54,American Blonde Ale,12,Bent Brewstillery,Roseville, MN,MN,ALE,red
440,Bent Paddle Black Ale,1261,0.06,34,76,American Black Ale,12,Bent Paddle Brewing Company,Duluth, MN,MN,ALE,red
441,Lost Sailor IPA,1900,0.055,40,279,English India Pale Ale (IPA),12,Berkshire Brewing Company,South Deerfield, MA,MA,ALE,red
442,Steel Rail Extra Pale Ale,1317,0.053,20,279,American Pale Ale (APA),12,Berkshire Brewing Company,South Deerfield, MA,MA,ALE,red
443,Aprè Shred,2104,0.081,17,221,American Strong Ale,16,Big Choice Brewing,Broomfield, CO,CO,ALE,red
444,Disconnected Red,1067,0.067,85,221,American Amber / Red Ale,16,Big Choice Brewing,Broomfield, CO,CO,ALE,red
445,Scape Goat Pale Ale,1713,0.05,40,337,English Pale Ale,12,Big Sky Brewing Company,Missoula, MT,MT,ALE,red
446,Montana Trout Slayer Ale,1712,0.05,35,337,American Pale Wheat Ale,12,Big Sky Brewing Company,Missoula, MT,MT,ALE,red
447,Moose Drool Brown Ale,1711,0.051,26,337,American Brown Ale,12,Big Sky Brewing Company,Missoula, MT,MT,ALE,red
448,Powder Hound Winter Ale,1456,0.072,60,337,English Strong Ale,12,Big Sky Brewing Company,Missoula, MT,MT,ALE,red
449,Moose Drool Brown Ale (2011),767,0.051,26,337,American Brown Ale,12,Big Sky Brewing Company,Missoula, MT,MT,ALE,red
450,Montana Trout Slayer Ale (2012),766,0.05,35,337,American Pale Wheat Ale,12,Big Sky Brewing Company,Missoula, MT,MT,ALE,red
451,Scape Goat Pale Ale (2010),159,0.05,40,337,English Pale Ale,12,Big Sky Brewing Company,Missoula, MT,MT,ALE,red
452,Montana Trout Slayer Ale (2009),35,0.05,35,337,American Pale Wheat Ale,12,Big Sky Brewing Company,Missoula, MT,MT,ALE,red
453,Moose Drool Brown Ale (2009),34,0.051,26,337,American Brown Ale,12,Big Sky Brewing Company,Missoula, MT,MT,ALE,red
454,Wavemaker,2095,0.058,38,222,American Amber / Red Ale,12,Big Storm Brewing Company,Odessa, FL,FL,ALE,red
455,Jack Pine Savage,1257,0.053,43,445,American Pale Ale (APA),16,Big Wood Brewery,Vadnais Heights, MN,MN,ALE,red
456,Jalapeno Pale Ale,2508,0.055,45,71,American Pale Ale (APA),16,Birdsong Brewing Company,Charlotte, NC,NC,ALE,red
457,Deception,2412,0.045,16,113,American Blonde Ale,12,Black Market Brewing Company,Temecula, CA,CA,ALE,red
458,Aftermath Pale Ale,1896,0.058,44,113,American Pale Ale (APA),12,Black Market Brewing Company,Temecula, CA,CA,ALE,red
459,American India Red Ale,1850,0.071,83,295,American Strong Ale,12,Black Shirt Brewing Company,Denver, CO,CO,ALE,red
460,American Red Saison,1848,0.078,34,295,Saison / Farmhouse Ale,12,Black Shirt Brewing Company,Denver, CO,CO,ALE,red
461,Colorado Red Ale,1847,0.066,44,295,American Amber / Red Ale,12,Black Shirt Brewing Company,Denver, CO,CO,ALE,red
462,Saddle Bronc Brown Ale,2485,0.048,16,80,American Brown Ale,12,Black Tooth Brewing Company,Sheridan, WY,WY,ALE,red
463,Bomber Mountain Amber Ale,2484,0.046,20,80,American Amber / Red Ale,12,Black Tooth Brewing Company,Sheridan, WY,WY,ALE,red
464,834 Happy As Ale,611,0.046,35,381,American Pale Ale (APA),12,Blue Blood Brewing Company,Lincoln, NE,NE,ALE,red
465,Full Nelson Pale Ale,1547,0.059,60,383,American Pale Ale (APA),12,Blue Mountain Brewery,Afton, VA,VA,ALE,red
466,Full Nelson Pale Ale (2010),119,0.059,60,383,American Pale Ale (APA),12,Blue Mountain Brewery,Afton, VA,VA,ALE,red
467,Blue Point Summer Ale,667,0.044,16,490,American Blonde Ale,12,Blue Point Brewing Company,Patchogue, NY,NY,ALE,red
468,Kilt Dropper Scotch Ale,1727,0.075,22,108,Scotch Ale / Wee Heavy,16,Bonfire Brewing Company,Eagle, CO,CO,ALE,red
469,Farmer Wirtz India Pale Ale,1549,0.07,94,108,English India Pale Ale (IPA),16,Bonfire Brewing Company,Eagle, CO,CO,ALE,red
470,Kindler Pale Ale,1183,0.053,45,108,American Pale Ale (APA),12,Bonfire Brewing Company,Eagle, CO,CO,ALE,red
471,Samuel Adams Summer Ale,1144,0.053,7,301,American Pale Wheat Ale,12,Boston Beer Company,Boston, MA,MA,ALE,red
472,Hazed & Infused,1395,0.049,35,418,American Pale Ale (APA),12,Boulder Beer Company,Boulder, CO,CO,ALE,red
473,Hoopla Pale Ale,808,0.057,35,418,American Pale Ale (APA),12,Boulder Beer Company,Boulder, CO,CO,ALE,red
474,Hazed & Infused (2010),81,0.049,35,418,American Pale Ale (APA),12,Boulder Beer Company,Boulder, CO,CO,ALE,red
475,Evil Owl,2167,0.052,40,208,American Amber / Red Ale,12,Branchline Brewing Company,San Antonio, TX,TX,ALE,red
476,Agave Wheat,1522,0.042,9,392,American Pale Wheat Ale,12,Breckenridge Brewery,Denver, CO,CO,ALE,red
477,SummerBright Ale,397,0.045,15,392,American Pale Wheat Ale,12,Breckenridge Brewery,Denver, CO,CO,ALE,red
478,Avalanche Ale,83,0.054,19,392,American Amber / Red Ale,12,Breckenridge Brewery,Denver, CO,CO,ALE,red
479,Rollin Dirty Red Ale,1800,0.05,21,309,Irish Red Ale,12,Brew Bus Brewing,Tampa, FL,FL,ALE,red
480,Are Wheat There Yet?,1799,0.055,28,309,American Pale Wheat Ale,12,Brew Bus Brewing,Tampa, FL,FL,ALE,red
481,Northern Lights Amber Ale,921,0.05,15,494,American Amber / Red Ale,12,Broken Tooth Brewing Company,Anchorage, AK,AK,ALE,red
482,Polar Pale Ale,920,0.052,17,494,American Pale Ale (APA),12,Broken Tooth Brewing Company,Anchorage, AK,AK,ALE,red
483,East India Pale Ale,1279,0.068,47,438,English India Pale Ale (IPA),16,Brooklyn Brewery,Brooklyn, NY,NY,ALE,red
484,East India Pale Ale,566,0.068,47,438,English India Pale Ale (IPA),12,Brooklyn Brewery,Brooklyn, NY,NY,ALE,red
485,Black Adder IBA (Current),383,0.073,85,531,American Black Ale,16,Buckbean Brewing Company,Reno, NV,NV,ALE,red
486,Tule Duck Red Ale (Current),28,0.062,42,531,American Amber / Red Ale,16,Buckbean Brewing Company,Reno, NV,NV,ALE,red
487,1836,2125,0.06,40,215,American Blonde Ale,12,Buffalo Bayou Brewing Company,Houston, TX,TX,ALE,red
488,Pale Alement,2478,0.055,40,25,American Pale Ale (APA),12,Burn 'Em Brewing,Michigan City, IN,IN,ALE,red
489,Joey Wheat,2160,0.068,16,25,American Pale Wheat Ale,16,Burn 'Em Brewing,Michigan City, IN,IN,ALE,red
490,Pale Alement,2054,0.055,40,25,American Pale Ale (APA),16,Burn 'Em Brewing,Michigan City, IN,IN,ALE,red
491,Mucho Aloha Hawaiian Pale Ale,668,0.056,36,518,American Pale Ale (APA),12,Butcher's Brewing,Carlsbad, CA,CA,ALE,red
492,Horny Toad Cerveza,2214,0.053,25,183,American Blonde Ale,16,COOP Ale Works,Oklahoma City, OK,OK,ALE,red
493,Native Amber,2213,0.063,35,183,American Amber / Red Ale,16,COOP Ale Works,Oklahoma City, OK,OK,ALE,red
494,Native Amber (2013),170,0.063,35,183,American Amber / Red Ale,16,COOP Ale Works,Oklahoma City, OK,OK,ALE,red
495,Horny Toad Cerveza (2013),169,0.053,25,183,American Blonde Ale,16,COOP Ale Works,Oklahoma City, OK,OK,ALE,red
496,Caldera Pale Ale,1419,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR,OR,ALE,red
497,Ashland Amber Ale (2009),794,0.054,24,156,American Amber / Red Ale,12,Caldera Brewing Company,Ashland, OR,OR,ALE,red
498,Caldera Pale Ale (2010),791,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR,OR,ALE,red
499,Caldera Pale Ale (2009),790,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR,OR,ALE,red
500,Caldera Pale Ale (2005),789,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR,OR,ALE,red
501,Caldera Pale Ale (2007),788,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR,OR,ALE,red
502,Caldera Pale Ale (2011),38,0.056,55,156,American Pale Ale (APA),12,Caldera Brewing Company,Ashland, OR,OR,ALE,red
503,Ashland Amber Ale,37,0.054,24,156,American Amber / Red Ale,12,Caldera Brewing Company,Ashland, OR,OR,ALE,red
504,Imperial Pumpkin Stout,2068,0.099,43,231,Pumpkin Ale,16,Cape Ann Brewing Company,Gloucester, MA,MA,ALE,red
505,Fisherman's Brew,2064,0.055,30,231,American Amber / Red Ale,12,Cape Ann Brewing Company,Gloucester, MA,MA,ALE,red
506,Cape Cod Red,1928,0.055,35,268,American Amber / Red Ale,16,Cape Cod Beer,Hyannis, MA,MA,ALE,red
507,Beach Blonde,1927,0.049,10,268,American Blonde Ale,16,Cape Cod Beer,Hyannis, MA,MA,ALE,red
508,Dark Voyage Black IPA (2013),2227,0.065,80,193,American Black Ale,12,Capital Brewery,Middleton, WI,WI,ALE,red
509,Epitome,2094,0.099,100,223,American Black Ale,16,Carton Brewing Company,Atlantic Highlands, NJ,NJ,ALE,red
510,Seiche Scottish Ale,1881,0.078,16,286,Scottish Ale,16,Catawba Island Brewing,Port Clinton, OH,OH,ALE,red
511,Elliott's Phoned Home Pale Ale,1182,0.051,36,30,American Pale Ale (APA),16,Cedar Creek Brewery,Seven Points, TX,TX,ALE,red
512,The Lawn Ranger,1050,0.05,18,30,Cream Ale,16,Cedar Creek Brewery,Seven Points, TX,TX,ALE,red
513,Ray Ray’s Pale Ale,1247,0.052,42,123,American Pale Ale (APA),12,Center of the Universe Brewing C...,Ashland, VA,VA,ALE,red
514,Catch 23,1646,0.075,77,351,American Black Ale,16,Central Coast Brewing Company,San Luis Obispo, CA,CA,ALE,red
515,Pail Ale,2017,0.055,30,251,American Pale Ale (APA),16,Chapman's Brewing,Angola, IN,IN,ALE,red
516,8 Barrel,2080,0.08,69,227,American Strong Ale,16,Chatham Brewing,Chatham, NY,NY,ALE,red
517,Wandering Pelican,2013,0.082,65,142,American Black Ale,12,Cigar City Brewing Company,Tampa, FL,FL,ALE,red
518,Maduro Brown Ale,1138,0.055,25,142,English Brown Ale,12,Cigar City Brewing Company,Tampa, FL,FL,ALE,red
519,Maduro Brown Ale,571,0.055,25,142,American Brown Ale,12,Cigar City Brewing Company,Tampa, FL,FL,ALE,red
520,Tocobaga Red Ale,569,0.072,75,142,American Amber / Red Ale,12,Cigar City Brewing Company,Tampa, FL,FL,ALE,red
521,Cascadian Dark Ale,1393,0.06,75,419,American Black Ale,12,Coalition Brewing Company,Portland, OR,OR,ALE,red
522,Wheat the People,893,0.044,13,419,American Pale Wheat Ale,16,Coalition Brewing Company,Portland, OR,OR,ALE,red
523,Tybee Island Blonde,1407,0.047,17,416,American Blonde Ale,12,Coastal Empire Beer Company,Savannah, GA,GA,ALE,red
524,Savannah Brown Ale,1406,0.062,55,416,American Brown Ale,12,Coastal Empire Beer Company,Savannah, GA,GA,ALE,red
525,Hurricane Amber Ale (2004),751,0.052,24,102,American Amber / Red Ale,12,Coastal Extreme Brewing Company,Newport, RI,RI,ALE,red
526,Hurricane Amber Ale,120,0.052,24,102,American Amber / Red Ale,12,Coastal Extreme Brewing Company,Newport, RI,RI,ALE,red
527,Farmer John's Multi-Grain Ale,968,0.056,21,483,American Blonde Ale,16,Confluence Brewing Company,Des Moines, IA,IA,ALE,red
528,Eclipse Black IPA,556,0.077,71,516,American Black Ale,16,Crabtree Brewing Company,Greeley, CO,CO,ALE,red
529,Neomexicanus Native,2538,0.06,46,64,American Pale Ale (APA),12,Crazy Mountain Brewing Company,Edwards, CO,CO,ALE,red
530,Old Soul,2355,0.075,25,64,Belgian Strong Pale Ale,12,Crazy Mountain Brewing Company,Edwards, CO,CO,ALE,red
531,Crazy Mountain Amber Ale,356,0.052,25,64,American Amber / Red Ale,12,Crazy Mountain Brewing Company,Edwards, CO,CO,ALE,red
532,Aviator Raspberry Blonde,2293,0.049,25,170,American Blonde Ale,12,Crooked Fence Brewing Company,Garden City, ID,ID,ALE,red
533,South Ridge Amber Ale,1057,0.06,31,473,American Amber / Red Ale,16,Crystal Springs Brewing Company,Boulder, CO,CO,ALE,red
534,The Tradition,1809,0.05,15,228,American Blonde Ale,12,DC Brau Brewing Company,Washington, DC,DC,ALE,red
535,Dead Armadillo Amber Ale,1746,0.063,37,331,American Amber / Red Ale,12,Dead Armadillo Craft Brewing,Tulsa, OK,OK,ALE,red
536,Oak Cliff Coffee Ale,2251,0.075,33,128,American Brown Ale,12,Deep Ellum Brewing Company,Dallas, TX,TX,ALE,red
537,Farmhouse Wit,1202,0.048,25,128,Saison / Farmhouse Ale,16,Deep Ellum Brewing Company,Dallas, TX,TX,ALE,red
538,Dallas Blonde,946,0.052,23,128,American Blonde Ale,12,Deep Ellum Brewing Company,Dallas, TX,TX,ALE,red
539,Gutch English Style Mild Ale,1885,0.05,16,284,English Pale Mild Ale,12,Defiance Brewing Company,Hays, KS,KS,ALE,red
540,Mother Ale,1159,0.056,46,454,American Blonde Ale,12,Denali Brewing Company,Talkeetna, AK,AK,ALE,red
541,Single Engine Red,929,0.058,46,454,Irish Red Ale,12,Denali Brewing Company,Talkeetna, AK,AK,ALE,red
542,Mirror Pond Pale Ale,1210,0.05,40,455,American Pale Ale (APA),12,Deschutes Brewery,Bend, OR,OR,ALE,red
543,Abbey's Single (2015- ),2505,0.049,22,58,Abbey Single Ale,12,Destihl Brewery,Bloomington, IL,IL,ALE,red
544,Abbey's Single Ale (Current),1887,0.049,22,58,Abbey Single Ale,12,Destihl Brewery,Bloomington, IL,IL,ALE,red
545,Bravo Four Point,2051,0.044,45,238,American Pale Ale (APA),12,Devil's Backbone Brewing Company,Lexington, VA,VA,ALE,red
546,Striped Bass Pale Ale,1201,0.052,26,238,American Pale Ale (APA),12,Devil's Backbone Brewing Company,Lexington, VA,VA,ALE,red
547,Deadicated Amber,924,0.054,27,492,American Amber / Red Ale,16,Devil's Canyon Brewery,Belmont, CA,CA,ALE,red
548,Full Boar Scotch Ale,647,0.074,12,492,Scotch Ale / Wee Heavy,16,Devil's Canyon Brewery,Belmont, CA,CA,ALE,red
549,Dry Dock Amber Ale,871,0.058,49,497,American Amber / Red Ale,12,Dry Dock Brewing Company,Aurora, CO,CO,ALE,red
550,Dundee Summer Wheat Beer,457,0.045,18,539,American Pale Wheat Ale,12,Dundee Brewing Company,Rochester, NY,NY,ALE,red
551,Blonde Czich,2604,0.049,23,27,American Blonde Ale,16,Evil Czech Brewery,Mishawaka, IN,IN,ALE,red
552,Iron Horse Pale Ale,1722,0.05,32,336,American Pale Ale (APA),12,Fargo Brewing Company,Fargo, ND,ND,ALE,red
553,Stone's Throw IPA,1435,0.045,19,336,Scottish Ale,12,Fargo Brewing Company,Fargo, ND,ND,ALE,red
554,Trail Head,2089,0.063,55,225,American Pale Ale (APA),12,Fat Head's Brewery,Middleburg Heights, OH,OH,ALE,red
555,Parcae Belgian Style Pale Ale,1454,0.05,20,406,Belgian Pale Ale,16,Fate Brewing Company,Boulder, CO,CO,ALE,red
556,Loki Red Ale,2191,0.075,53,202,American Amber / Red Ale,16,Fearless Brewing Company,Estacada, OR,OR,ALE,red
557,Loki Red Ale (2013),895,0.075,53,202,American Amber / Red Ale,16,Fearless Brewing Company,Estacada, OR,OR,ALE,red
558,Sobek & Set,1664,0.08,80,257,American Black Ale,16,Finch's Beer Company,Chicago, IL,IL,ALE,red
559,Wet Hot American Wheat Ale,1662,0.05,22,257,American Pale Wheat Ale,16,Finch's Beer Company,Chicago, IL,IL,ALE,red
560,Fascist Pig Ale,935,0.08,72,257,American Amber / Red Ale,16,Finch's Beer Company,Chicago, IL,IL,ALE,red
561,805,1733,0.047,20,49,American Blonde Ale,12,Firestone Walker Brewing Company,Paso Robles, CA,CA,ALE,red
562,Hinchtown Hammer Down,2284,0.05,27,17,American Blonde Ale,16,Flat 12 Bierwerks,Indianapolis, IN,IN,ALE,red
563,Park,2661,0.047,19,5,American Pale Wheat Ale,12,Fort Point Beer Company,San Francisco, CA,CA,ALE,red
564,Westfalia,2660,0.056,16,5,American Amber / Red Ale,12,Fort Point Beer Company,San Francisco, CA,CA,ALE,red
565,Dirty Bastard,2625,0.085,50,16,Scotch Ale / Wee Heavy,12,Founders Brewing Company,Grand Rapids, MI,MI,ALE,red
566,Local Buzz,1872,0.052,20,288,American Blonde Ale,12,Four Corners Brewing Company,Dallas, TX,TX,ALE,red
567,Kilt Lifter Scottish-Style Ale (2009),179,0.06,21,161,Scottish Ale,12,Four Peaks Brewing Company,Tempe, AZ,AZ,ALE,red
568,Suncaster Summer Wheat,2427,0.05,28,106,American Pale Wheat Ale,12,Four String Brewing Company,Columbus, OH,OH,ALE,red
569,Brass Knuckle Pale Ale,2425,0.057,36,106,American Pale Ale (APA),12,Four String Brewing Company,Columbus, OH,OH,ALE,red
570,Texicali ,2526,0.065,33,67,American Brown Ale,12,Freetail Brewing Company,San Antonio, TX,TX,ALE,red
571,Harvest Ale,901,0.065,35,461,Saison / Farmhouse Ale,12,Fremont Brewing Company,Seattle, WA,WA,ALE,red
572,Fremont Summer Ale,875,0.065,45,461,American Pale Ale (APA),12,Fremont Brewing Company,Seattle, WA,WA,ALE,red
573,Universale Pale Ale,858,0.056,30,461,American Pale Ale (APA),12,Fremont Brewing Company,Seattle, WA,WA,ALE,red
574,Wee-Heavy-Er Scotch Ale,1260,0.07,24,434,Scotch Ale / Wee Heavy,12,French Broad Brewery,Asheville, NC,NC,ALE,red
575,Boathouse Blonde,2076,0.049,15,229,American Blonde Ale,12,Geneva Lake Brewing Company,Lake Geneva, WI,WI,ALE,red
576,Cedar Point,2075,0.05,26,229,American Amber / Red Ale,12,Geneva Lake Brewing Company,Lake Geneva, WI,WI,ALE,red
577,Saison Pamplemousse,1960,0.058,35,241,Saison / Farmhouse Ale,12,Golden Road Brewing,Los Angeles, CA,CA,ALE,red
578,Get Up Offa That Brown,991,0.055,20,241,American Brown Ale,16,Golden Road Brewing,Los Angeles, CA,CA,ALE,red
579,Sweet As Pacific Ale,1108,0.06,18,465,American Pale Wheat Ale,12,Good Life Brewing Company,Bend, OR,OR,ALE,red
580,Good People Pale Ale,1000,0.056,36,479,American Pale Ale (APA),12,Good People Brewing Company,Birmingham, AL,AL,ALE,red
581,Good People American Brown Ale,308,0.058,36,479,American Brown Ale,12,Good People Brewing Company,Birmingham, AL,AL,ALE,red
582,Mountain Rescue Pale Ale,2205,0.055,40,195,American Pale Ale (APA),12,Goodlife Brewing Co.,Bend, OR,OR,ALE,red
583,312 Urban Pale Ale,2457,0.054,30,89,American Pale Ale (APA),16,Goose Island Brewing Company,Chicago, IL,IL,ALE,red
584,312 Urban Pale Ale,2202,0.054,30,89,American Pale Ale (APA),12,Goose Island Brewing Company,Chicago, IL,IL,ALE,red
585,312 Urban Wheat Ale,2201,0.042,18,89,American Pale Wheat Ale,16,Goose Island Brewing Company,Chicago, IL,IL,ALE,red
586,312 Urban Wheat Ale,1829,0.042,18,89,American Pale Wheat Ale,12,Goose Island Brewing Company,Chicago, IL,IL,ALE,red
587,312 Urban Wheat Ale (2012),581,0.042,20,89,American Pale Wheat Ale,12,Goose Island Brewing Company,Chicago, IL,IL,ALE,red
588,Monarch Classic American Wheat,2129,0.043,21,214,American Pale Wheat Ale,12,Grapevine Craft Brewery,Farmers Branch, TX,TX,ALE,red
589,Sir William's English Brown Ale,2127,0.049,21,214,English Brown Ale,12,Grapevine Craft Brewery,Farmers Branch, TX,TX,ALE,red
590,Lakefire Rye Pale Ale,2126,0.055,35,214,American Pale Ale (APA),12,Grapevine Craft Brewery,Farmers Branch, TX,TX,ALE,red
591,Beer Agent Re-Ignition,2303,0.053,22,166,American Blonde Ale,16,Great Crescent Brewery,Aurora, IN,IN,ALE,red
592,Great Crescent Blonde Ale,1699,0.053,22,166,American Blonde Ale,16,Great Crescent Brewery,Aurora, IN,IN,ALE,red
593,Great Crescent Brown Ale,649,0.045,36,166,American Brown Ale,16,Great Crescent Brewery,Aurora, IN,IN,ALE,red
594,Frosted Fields Winter Wheat,615,0.06,25,166,American Dark Wheat Ale,16,Great Crescent Brewery,Aurora, IN,IN,ALE,red
595,Great Crescent Mild Ale,439,0.042,26,166,English Dark Mild Ale,16,Great Crescent Brewery,Aurora, IN,IN,ALE,red
596,Great Crescent Blonde Ale (2011),389,0.053,22,166,American Blonde Ale,16,Great Crescent Brewery,Aurora, IN,IN,ALE,red
597,Commotion APA,1923,0.052,49,270,American Pale Ale (APA),12,Great Raft Brewing Company,Shreveport, LA,LA,ALE,red
598,Barrel Aged Farmer,1574,0.07,22,366,American Brown Ale,16,Great River Brewery,Davenport, IA,IA,ALE,red
599,Owney Irish Style Red Ale,1064,0.05,30,366,Irish Red Ale,16,Great River Brewery,Davenport, IA,IA,ALE,red
600,Roller Dam Red Ale,864,0.054,30,366,Irish Red Ale,16,Great River Brewery,Davenport, IA,IA,ALE,red
601,483 Pale Ale,863,0.053,48,366,American Pale Ale (APA),16,Great River Brewery,Davenport, IA,IA,ALE,red
602,Farmer Brown Ale,655,0.07,22,366,American Brown Ale,16,Great River Brewery,Davenport, IA,IA,ALE,red
603,40th Annual Bix Street Fest Copper Ale (Current),517,0.048,25,366,American Amber / Red Ale,16,Great River Brewery,Davenport, IA,IA,ALE,red
604,483 Pale Ale (2010),190,0.053,48,366,American Pale Ale (APA),16,Great River Brewery,Davenport, IA,IA,ALE,red
